ID,ENGLISH,GERMAN,FRENCH
FEAT_LONE_STR,"Clerc solitaire - Au début de votre repos court, vous récupérez un montant supplémentaire égal à vos niveaux d'épuisement.",...,"Clerc solitaire - Au début de votre repos court, vous récupérez un montant supplémentaire égal à vos niveaux d'épuisement."
FEAT_MEMORIZER_INT,"Maître mémorisateur - Pendant votre repos court, vous récupérez deux emplacements de sort aléatoires au lieu d'un seul.",,"Maître mémorisateur - Pendant votre repos court, vous récupérez deux emplacements de sort aléatoires au lieu d'un seul."
FEAT_COMPANY_CHA,"Bonne compagnie - Pendant les repos courts, lancez toujours les Dés de Vie avec avantage. Snell gagne aussi une maîtrise supplémentaire à ses jets d'initiative.",,"Bonne compagnie - Pendant les repos courts, lancez toujours les Dés de Vie avec avantage. Snell gagne aussi une maîtrise supplémentaire à ses jets d'initiative."
FEAT_PARANOIA_DEX,Paranoïa contagieuse - Avantage aux jets d'initiative.,,Paranoïa contagieuse - Avantage aux jets d'initiative.
FEAT_SURVIVAL_CON,Survie du plus apte - Avantage aux jets de sauvegarde contre la mort.,,Survie du plus apte - Avantage aux jets de sauvegarde contre la mort.
FEAT_EYE_CHA,Lire la salle - Avantage aux tests d'observation.,,Lire la salle - Avantage aux tests d'observation.
FEAT_LUCK_CHA,"Chance du fou - Chaque fois que vous obtenez un 1 naturel, relancez le d20 et subissez 1d4 dégâts. Si le nouveau résultat est aussi un 1 naturel, répétez le processus. Ces dégâts ne peuvent pas vous faire descendre sous 1 PV.",,"Chance du fou - Chaque fois que vous obtenez un 1 naturel, relancez le d20 et subissez 1d4 dégâts. Si le nouveau résultat est aussi un 1 naturel, répétez le processus. Ces dégâts ne peuvent pas vous faire descendre sous 1 PV."
FEAT_MUSH_DEX,"Réflexes de donjon - Chaque fois que vous obtenez 10 ou moins, ajoutez une maîtrise supplémentaire au jet.",,"Réflexes de donjon - Chaque fois que vous obtenez 10 ou moins, ajoutez une maîtrise supplémentaire au jet."
FEAT_PROF_STR,"Clerc professionnel - Vous ne pouvez pas faire d'échec critique. (Quand vous obtenez un 1 naturel, il n'est pas traité comme un échec automatique.)",,"Clerc professionnel - Vous ne pouvez pas faire d'échec critique. (Quand vous obtenez un 1 naturel, il n'est pas traité comme un échec automatique.)"
FEAT_BALANCE_INT,"Cloche courbée, mais équilibrée - Chaque fois qu'un d20 est lancé, les Fils de Jor font pencher le résultat vers 10. Les chances de jets critiques sont diminuées.",,"Cloche courbée, mais équilibrée - Chaque fois qu'un d20 est lancé, les Fils de Jor font pencher le résultat vers 10. Les chances de jets critiques sont diminuées."
FEAT_BELLY_CON,Sombre ventre de l'âme - Résistance à tous les dégâts quand vous êtes sous 50 % de PV.,,Sombre ventre de l'âme - Résistance à tous les dégâts quand vous êtes sous 50 % de PV.
FEAT_HJARTA_WIS,Hjārtat Mitt - Chaque niveau d'épuisement donne +1 à chaque jet de d20 au lieu de -1.,,Hjārtat Mitt - Chaque niveau d'épuisement donne +1 à chaque jet de d20 au lieu de -1.
FEAT_MAN_STR,"Un homme bon - Chaque fois que vous survivez à un jet de sauvegarde contre la mort, vous vous relevez avec 1d20 PV.",,"Un homme bon - Chaque fois que vous survivez à un jet de sauvegarde contre la mort, vous vous relevez avec 1d20 PV."
FEAT_FRAGILE_DEX,"Immortalité fragile - Ne lancez pas de jets de sauvegarde contre la mort. Chaque fois que vous avez plus de 1 PV et subissez des dégâts qui vous feraient tomber à 0, vous passez à 1. Si vous subissez des dégâts à 1 PV, vous mourez.",,"Immortalité fragile - Ne lancez pas de jets de sauvegarde contre la mort. Chaque fois que vous avez plus de 1 PV et subissez des dégâts qui vous feraient tomber à 0, vous passez à 1. Si vous subissez des dégâts à 1 PV, vous mourez."
FEAT_DREAM_INT,"Rêve impérial - Lorsque vous parlez avec quelqu'un de moins intelligent que vous, gagnez une maîtrise supplémentaire à tous les jets de d20.",,"Rêve impérial - Lorsque vous parlez avec quelqu'un de moins intelligent que vous, gagnez une maîtrise supplémentaire à tous les jets de d20."
FEAT_LIE_CHA,"Beau mensonge - Lorsque vous êtes à pleine santé et à 0 épuisement, gagnez l'avantage à tous les jets de d20.",,"Beau mensonge - Lorsque vous êtes à pleine santé et à 0 épuisement, gagnez l'avantage à tous les jets de d20."
FEAT_NAT_STR,Nationaliste - Maîtrise supplémentaire aux jets lorsque vous parlez avec des humains.,,Nationaliste - Maîtrise supplémentaire aux jets lorsque vous parlez avec des humains.
FEAT_FRE_DEX,Libre-Marcheur - Bénéficiez de 10 % de réduction supplémentaire sur tous les achats.,,Libre-Marcheur - Bénéficiez de 10 % de réduction supplémentaire sur tous les achats.
FEAT_AZG_WIS,"Azgaliste - Chaque fois que vous subissez des dégâts, avancez d'un cran sur un compteur secret en trois étapes. À la première étape, un d20 de « thèse » est lancé. À la deuxième, si les dégâts subis sont supérieurs au dé de « thèse », un d4 d'« antithèse » est lancé. À la troisième, les dégâts subis sont réduits de 1, ou du dé d'« antithèse » si ce dé a été lancé à la deuxième étape. C'est la « synthèse », d'une certaine façon. La prochaine fois que vous subissez des dégâts, revenez à la première étape.",,"Azgaliste - Chaque fois que vous subissez des dégâts, avancez d'un cran sur un compteur secret en trois étapes. À la première étape, un d20 de « thèse » est lancé. À la deuxième, si les dégâts subis sont supérieurs au dé de « thèse », un d4 d'« antithèse » est lancé. À la troisième, les dégâts subis sont réduits de 1, ou du dé d'« antithèse » si ce dé a été lancé à la deuxième étape. C'est la « synthèse », d'une certaine façon. La prochaine fois que vous subissez des dégâts, revenez à la première étape."
FEAT_ARC_INT,"Arcaniste - Lorsque vous utilisez votre dernier emplacement de sort d'un niveau donné, lancez 1d100. Si le résultat est inférieur à votre intelligence naturelle, vous récupérez cet emplacement de sort.",,"Arcaniste - Lorsque vous utilisez votre dernier emplacement de sort d'un niveau donné, lancez 1d100. Si le résultat est inférieur à votre intelligence naturelle, vous récupérez cet emplacement de sort."
FEAT_AGR_CON,"Agrarien - Chaque fois que vous ramassez de la nourriture, lancez 1d20. Sur 16 ou plus, vous obtenez un aliment supplémentaire.",,"Agrarien - Chaque fois que vous ramassez de la nourriture, lancez 1d20. Sur 16 ou plus, vous obtenez un aliment supplémentaire."
FEAT_APO_CHA,Apolitique - Augmente la maîtrise des jets de 1. Ce montant passe à 10 lors de tout jour d'élection.,,Apolitique - Augmente la maîtrise des jets de 1. Ce montant passe à 10 lors de tout jour d'élection.
