ID,ENGLISH,CHINESE,GERMAN,SPANISH,FRENCH
Quest_1_1,La Boutique de Thé qui a Explosé,...,,,La Boutique de Thé qui a Explosé
Quest_1_2,Votre mission à Tolstad est d'enquêter sur une boutique de thé qui a explosé. Localisez l'établissement et trouvez un moyen d'y entrer.,,,,Votre mission à Tolstad est d'enquêter sur une boutique de thé qui a explosé. Localisez l'établissement et trouvez un moyen d'y entrer.
Quest_1_3,"L'entrée de la boutique de thé a été fermée par le Seigneur-monnayeur Darrow. Si vous voulez entrer légalement, il vous faut sa bénédiction.",...,,,"L'entrée de la boutique de thé a été fermée par le Seigneur-monnayeur Darrow. Si vous voulez entrer légalement, il vous faut sa bénédiction."
Quest_1_4,Vous avez réussi à entrer dans la Boutique de Thé. Il est temps d'enquêter !,...,,,Vous avez réussi à entrer dans la Boutique de Thé. Il est temps d'enquêter !
Quest_1_5,"Indice : vous avez trouvé une broche métallique magique dans les ruines. Elle était à moitié fondue. Aucun feu normal ne pourrait abîmer un objet magique, même mineur comme celui-ci.",...,,,"Indice : vous avez trouvé une broche métallique magique dans les ruines. Elle était à moitié fondue. Aucun feu normal ne pourrait abîmer un objet magique, même mineur comme celui-ci."
Quest_1_6,Indice : vous avez trouvé du thé kargameshien dans la presse à thé détruite. L'état de la machine montre clairement que quelqu'un préparait du thé au moment de l'explosion.,...,,,Indice : vous avez trouvé du thé kargameshien dans la presse à thé détruite. L'état de la machine montre clairement que quelqu'un préparait du thé au moment de l'explosion.
Quest_1_7,"Indice : la porte en fer du bureau arrière a été soufflée après que ses gonds ont fondu. Cela signifie que l'explosion venait sûrement de la chambre centrale, et qu'elle était extrêmement chaude.",,,,"Indice : la porte en fer du bureau arrière a été soufflée après que ses gonds ont fondu. Cela signifie que l'explosion venait sûrement de la chambre centrale, et qu'elle était extrêmement chaude."
Quest_1_8,"Indice : vous avez trouvé un exemplaire de The Undercommon, un magazine magique célèbre pour son papier indestructible.",,,,"Indice : vous avez trouvé un exemplaire de The Undercommon, un magazine magique célèbre pour son papier indestructible."
Quest_1_9,Vous avez trouvé un corps sous les décombres. Le corps d'une elfe. Vous devez le signaler à Dame Sageleaf.,...,,,Vous avez trouvé un corps sous les décombres. Le corps d'une elfe. Vous devez le signaler à Dame Sageleaf.
Quest_1_10,"Vous avez convaincu Dame Sageleaf que vous étiez idiot, ce qui vous permet de ne pas contredire la déclaration officielle de la ville. Le jour de l'élection, vous devriez parler au Seigneur-monnayeur. Il sera content.",...,,,"Vous avez convaincu Dame Sageleaf que vous étiez idiot, ce qui vous permet de ne pas contredire la déclaration officielle de la ville. Le jour de l'élection, vous devriez parler au Seigneur-monnayeur. Il sera content."
Quest_1_11,Vous avez donné à Dame Sageleaf ce qu'il lui fallait : des preuves pour contredire la déclaration officielle de la ville. Vous avez choisi un camp. Le HBT sera sûrement de votre côté maintenant.,...,,,Vous avez donné à Dame Sageleaf ce qu'il lui fallait : des preuves pour contredire la déclaration officielle de la ville. Vous avez choisi un camp. Le HBT sera sûrement de votre côté maintenant.
Quest_1_12,"Maintenant, la partie cruciale : trouver le responsable. Qui a apporté ce Collier de Boules de Feu à Norvik ? Qui l'a utilisé ? Et pourquoi ? Vous avez jusqu'à l'élection pour le découvrir.",,,,"Maintenant, la partie cruciale : trouver le responsable. Qui a apporté ce Collier de Boules de Feu à Norvik ? Qui l'a utilisé ? Et pourquoi ? Vous avez jusqu'à l'élection pour le découvrir."
,,,,,
,,,,,
,,,,,
,,,,,
Quest_2_1,Dragon de Tolstad,,,,Dragon de Tolstad
