ID,ENGLISH,GERMAN,FRENCH
BG_AKZEL_5,Archeologist,Archéologue,Archéologue
BG_ALFOZ_3,Foreman,Contremaître,Contremaître
BG_ARN_1,Child Worker,Enfant ouvrier,Enfant ouvrier
BG_AVIK_1,Proletariat,Prolétariat,Prolétariat
BG_BOND_15,Demi-Lich,Demi-liche,Demi-liche
BG_BORGO_13,Paladin,Paladin,Paladin
BG_BRAXO_2,Scribe,Scribe,Scribe
BG_BRR_4,Ranger,Rôdeur,Rôdeur
BG_CHAMAR_2,Cleric,Clerc,Clerc
BG_DARROW_3,Coinlord,Seigneur-monnayeur,Seigneur-monnayeur
BG_DRUMMER_1,Entrepreneur,Entrepreneur,Entrepreneur
BG_ETTIR_10,Angel,Ange,Ange
BG_EVER_18,Trifler,Trifler,Trifler
BG_FREY_5,Noble,Noble,Noble
BG_GORM_12,Paladin,Paladin,Paladin
BG_GOUR_9,Frost Troll,Troll de givre,Troll de givre
BG_ISK_16,Wizard,Magicien,Magicien
BG_IVCX_15,Decayed Solar,Solar déchu,Solar déchu
BG_JEHANNE_1,Factory Worker,Ouvrière d'usine,Ouvrière d'usine
BG_KRAAID_11,Barbarian,Barbare,Barbare
BG_KULL_7,Warden,Gardien,Gardien
BG_LISA_6,Hagling,Jeune guenaude,Jeune guenaude
BG_MASKED_5,Assassin,Assassine,Assassine
BG_MERI_6,Writer,Écrivain,Écrivain
BG_MISKA_17,Chieftain,Cheffe de clan,Cheffe de clan
BG_MODISSA_2,Writer,Écrivaine,Écrivaine
BG_MOONGORE_3,Fighter,Combattante,Combattante
BG_NEARLY_1,Bard,Barde,Barde
BG_NESSAN_6,Druid,Druidesse,Druidesse
BG_OLZIS_14,Gynosphinx,Gynosphinx,Gynosphinx
BG_OST_9,Rogue,Roublard,Roublard
BG_OYU_2,"Entrepreneur
",Entrepreneuse,Entrepreneuse
BG_PINJA_2,Sorcerer,Ensorceleuse,Ensorceleuse
BG_RAZZ_8,Rogue,Roublard,Roublard
BG_RIX_3,"Entrepreneur
",Entrepreneuse,Entrepreneuse
BG_ROLLO_1,Unemployed,Sans emploi,Sans emploi
BG_SHEN_1,Scholar,Érudit,Érudit
BG_SIMII_2,Factory Worker,Ouvrier d'usine,Ouvrier d'usine
BG_SMARTER_1,Rogue,Roublard,Roublard
BG_SNELL_3,Rogue,Roublard,Roublard
BG_SNURRE_4,Scholar,Érudit,Érudit
BG_STEN_1,"Unemployed
",Sans emploi,Sans emploi
BG_THAL_3,Entrepreneur,Entrepreneur,Entrepreneur
BG_TOLI_1,"Unemployed
",Sans emploi,Sans emploi
BG_UNMASKED_5,Warlock,Occultiste,Occultiste
BG_URTH_20,Cleric,Clerc,Clerc
BG_NISSE_1,"Unemployed
",Sans emploi,Sans emploi
BG_VIIRA_4,Fighter,Combattante,Combattante
BG_VISKEN_17,Entrepreneur,Entrepreneur,Entrepreneur
BG_XERBA_1,Service Worker,Employée de service,Employée de service
IP_AKZEL_5_DEX,"This, right here, is the fourth pillar of the feudal system. A spelunking, delving, digging, roaming, true-blooded <i>ADVENTURER</i>.","Ceci, juste là, est le quatrième pilier du système féodal. Un <i>AVENTURIER</i> pur sang, spéléologue, fouilleur, creuseur, vagabond.","Ceci, juste là, est le quatrième pilier du système féodal. Un <i>AVENTURIER</i> pur sang, spéléologue, fouilleur, creuseur, vagabond."
IP_AKZEL_10,"Though he's seen a lot of shit in his days, Akzel still has his glowing eyes set on the next prize - the true reward of a live on the trail - a <i>hoard</i>.","Même s'il a vu beaucoup de merde dans sa vie, Akzel garde ses yeux luisants fixés sur le prochain prix : la vraie récompense d'une vie sur les routes, un <i>trésor</i>.","Même s'il a vu beaucoup de merde dans sa vie, Akzel garde ses yeux luisants fixés sur le prochain prix : la vraie récompense d'une vie sur les routes, un <i>trésor</i>."
IP_AKZEL_15,"He will find it, one day, some day. But not this day. Perhaps you will see him again? Who are you kidding, of course you will.","Il le trouvera, un jour, peut-être. Mais pas aujourd'hui. Peut-être le reverras-tu ? Qui essaies-tu de tromper, bien sûr que oui.","Il le trouvera, un jour, peut-être. Mais pas aujourd'hui. Peut-être le reverras-tu ? Qui essaies-tu de tromper, bien sûr que oui."
IP_AKZEL_20,"His expertise in the City Below is not for nothing. You should keep him close. He'll be real useful if you ever wanna get into that freelance dungeoneering business. Seriously, there's a lot of money in that!","Son expertise dans la Cité d'En Bas n'est pas inutile. Tu devrais le garder près de toi. Il sera vraiment utile si tu veux un jour te lancer dans l'exploration de donjons indépendante. Sérieusement, il y a beaucoup d'argent là-dedans !","Son expertise dans la Cité d'En Bas n'est pas inutile. Tu devrais le garder près de toi. Il sera vraiment utile si tu veux un jour te lancer dans l'exploration de donjons indépendante. Sérieusement, il y a beaucoup d'argent là-dedans !"
IP_ALFOZ_5_CON,He stands by his ideals with gut and little else.,Il tient à ses idéaux avec ses tripes et pas grand-chose d'autre.,Il tient à ses idéaux avec ses tripes et pas grand-chose d'autre.
IP_ALFOZ_10,A push will earn his respect. That is his way.,Une poussée gagnera son respect. C'est sa manière.,Une poussée gagnera son respect. C'est sa manière.
IP_ALFOZ_15,Alfoz knows he is privileged. He hates it. His ideal clashes with his blood.,Alfoz sait qu'il est privilégié. Il déteste ça. Son idéal se heurte à son sang.,Alfoz sait qu'il est privilégié. Il déteste ça. Son idéal se heurte à son sang.
IP_ALFOZ_20,At his core he fights for glory. Empathy does not spark his heart. He wants to earn admiration and LEGEND.,"Au fond, il se bat pour la gloire. L'empathie n'allume pas son coeur. Il veut gagner l'admiration et la LÉGENDE.","Au fond, il se bat pour la gloire. L'empathie n'allume pas son coeur. Il veut gagner l'admiration et la LÉGENDE."
IP_ARN_5_DEX,Kid's working his ass off. Getting that bread! He must be doing that optional weekend school.,Le gamin bosse comme un fou. Il va chercher son pain ! Il doit suivre cette école facultative du week-end.,Le gamin bosse comme un fou. Il va chercher son pain ! Il doit suivre cette école facultative du week-end.
IP_ARN_10,He'll go far in life with that attitude. But that fire under his ass must've been lit by something fierce.,Il ira loin dans la vie avec une telle attitude. Mais il a bien fallu quelque chose de violent pour allumer ce feu sous ses fesses.,Il ira loin dans la vie avec une telle attitude. Mais il a bien fallu quelque chose de violent pour allumer ce feu sous ses fesses.
IP_ARN_15,He's a jumpy fellow. A survivor. Type of kid that's used to making it on his own.,C'est un garçon nerveux. Un survivant. Le genre d'enfant habitué à se débrouiller seul.,C'est un garçon nerveux. Un survivant. Le genre d'enfant habitué à se débrouiller seul.
IP_ARN_20,You relate to his fear. The kid doesn't want to end up like his old man - forgotten by time and space and the city.,"Tu comprends sa peur. Le gamin ne veut pas finir comme son vieux père, oublié par le temps, l'espace et la ville.","Tu comprends sa peur. Le gamin ne veut pas finir comme son vieux père, oublié par le temps, l'espace et la ville."
