ID,ResponseAS,Tags,DC,ENGLISH,GERMAN,FRENCH
1,INT,Spells,10,"Communication avec les morts - sort nécromantique de troisième niveau. Permet d'animer un esprit dans un cadavre et de lui faire répondre à cinq questions, tant que ce cadavre conserve un réceptacle adapté. En gros, cela signifie surtout qu'il doit encore avoir une sorte de bouche, avec une mâchoire fonctionnelle.",,"Communication avec les morts - sort nécromantique de troisième niveau. Permet d'animer un esprit dans un cadavre et de lui faire répondre à cinq questions, tant que ce cadavre conserve un réceptacle adapté. En gros, cela signifie surtout qu'il doit encore avoir une sorte de bouche, avec une mâchoire fonctionnelle."
2,INT,Spells,8,Main du mage - tour de magie arcanique courant. Peut servir à saisir des objets à distance. Très pratique.,,Main du mage - tour de magie arcanique courant. Peut servir à saisir des objets à distance. Très pratique.
3,WIS,Esoterics,8,"Clerc - serviteur d'un dieu, profondément dévoué et spirituellement lié. Généralement un lanceur de sorts divins qui reçoit son Pouvoir de sa divinité.",,"Clerc - serviteur d'un dieu, profondément dévoué et spirituellement lié. Généralement un lanceur de sorts divins qui reçoit son Pouvoir de sa divinité."
4,INT,City,12,"Citoyenneté - statut politique et légal privilégié accordé aux Urthfolks propriétaires, aux bourgeois et aux membres de l'aristocratie.",,"Citoyenneté - statut politique et légal privilégié accordé aux Urthfolks propriétaires, aux bourgeois et aux membres de l'aristocratie."
5,STR,Folk,6,Urthfolk - le peuple d'Urth. Les ancêtres de ceux qui reconquirent la côte askanii. De véritables héros mythologiques.,,Urthfolk - le peuple d'Urth. Les ancêtres de ceux qui reconquirent la côte askanii. De véritables héros mythologiques.
6,STR,Politics,6,Parti de Norvik - les héritiers de la volonté d'Urth. Organisation théocratique fondée pour préserver les anciennes voies. Dirigée par des magistrats et une vingtaine de familles nobles.,,Parti de Norvik - les héritiers de la volonté d'Urth. Organisation théocratique fondée pour préserver les anciennes voies. Dirigée par des magistrats et une vingtaine de familles nobles.
7,DEX,Politics,6,"Libre-Marcheur - la nouvelle voie ! À l'est, le peuple a renversé les vieux magiciens et les dieux. Depuis des années, la révolution avance lentement dans la ville. Il est temps de rejoindre enfin les Cités libres et de devenir riche !",,"Libre-Marcheur - la nouvelle voie ! À l'est, le peuple a renversé les vieux magiciens et les dieux. Depuis des années, la révolution avance lentement dans la ville. Il est temps de rejoindre enfin les Cités libres et de devenir riche !"
8,WIS,Politics,6,"Azgaliste - les travailleurs qui ont bâti cette ville veulent la gouverner. Cela semble juste. Leur vision est celle d'une société équitable et équilibrée, où ceux qui vivent en dessous se soulèvent pour prouver leur valeur. Après tout, pourquoi ne pourrait-on pas partager ?",,"Azgaliste - les travailleurs qui ont bâti cette ville veulent la gouverner. Cela semble juste. Leur vision est celle d'une société équitable et équilibrée, où ceux qui vivent en dessous se soulèvent pour prouver leur valeur. Après tout, pourquoi ne pourrait-on pas partager ?"
9,STR,City,10,Norvik - ta ville natale. Fondée par ton dieu vers la fin de la Guerre de la Côte. Elle est bâtie sur plusieurs strates de ruines antiques.,,Norvik - ta ville natale. Fondée par ton dieu vers la fin de la Guerre de la Côte. Elle est bâtie sur plusieurs strates de ruines antiques.
10,INT,Spells,10,"Charme-personne - sort d'enchantement de premier niveau. Si la cible échoue à un test de sagesse, tu deviendras sa personne préférée pendant un petit moment. Bien sûr, ensuite elle te détestera sûrement. Mais qui se soucie de ça ?",,"Charme-personne - sort d'enchantement de premier niveau. Si la cible échoue à un test de sagesse, tu deviendras sa personne préférée pendant un petit moment. Bien sûr, ensuite elle te détestera sûrement. Mais qui se soucie de ça ?"
11,CHA,Language,8,"Fanzkap - mot nain signifiant quelque chose comme ""diablerie"". Juron courant.",,"Fanzkap - mot nain signifiant quelque chose comme ""diablerie"". Juron courant."
12,INT,Spells,9,Compréhension des langues - sort de premier niveau permettant de comprendre le sens littéral des mots parlés et écrits.,,Compréhension des langues - sort de premier niveau permettant de comprendre le sens littéral des mots parlés et écrits.
13,INT,Esoterics,7,Magicien - lanceur de sorts arcaniques formé par les livres. Joue généralement les Fils de Jor en mémorisant et en exécutant des rituels et des chants ésotériques.,,Magicien - lanceur de sorts arcaniques formé par les livres. Joue généralement les Fils de Jor en mémorisant et en exécutant des rituels et des chants ésotériques.
14,INT,City,8,"Tolstad - vaste forteresse insulaire et l'un des cinq districts de la ville. Elle se trouve au milieu du fleuve Torna. Elle abrite le Pilier de Jor, un immense réseau de tunnels, et Waterlane, le plus grand centre commercial d'Askanii. Tu es sur Tolstad en ce moment.",,"Tolstad - vaste forteresse insulaire et l'un des cinq districts de la ville. Elle se trouve au milieu du fleuve Torna. Elle abrite le Pilier de Jor, un immense réseau de tunnels, et Waterlane, le plus grand centre commercial d'Askanii. Tu es sur Tolstad en ce moment."
15,STR,Geography,9,"Fleuve Torna - deuxième plus long fleuve documenté le long de la Côte, séparant la bande d'Askanii en deux.",,"Fleuve Torna - deuxième plus long fleuve documenté le long de la Côte, séparant la bande d'Askanii en deux."
16,CHA,"Geography
",9,"Waterlane - plus grand port commercial de Norvik, situé dans un immense tunnel qui perce le centre de Tolstad. C'est une ""merveille d'ingénierie naine"", et la raison pour laquelle tant de gens se rendent à Tolstad par ses nombreux ponts. Considéré comme l'une des grandes merveilles façonnées du monde.",,"Waterlane - plus grand port commercial de Norvik, situé dans un immense tunnel qui perce le centre de Tolstad. C'est une ""merveille d'ingénierie naine"", et la raison pour laquelle tant de gens se rendent à Tolstad par ses nombreux ponts. Considéré comme l'une des grandes merveilles façonnées du monde."
17,INT,"Geography
",10,"La Côte - aussi appelée Royaume de Jor. C'est une bande de terre divisée en huit bandes. Plus tu t'enfonces dans les terres, plus tu te rapproches des Désolations infinies. On suppose qu'elle forme un anneau ou une demi-sphère à cause de la courbure de l'horizon.",,"La Côte - aussi appelée Royaume de Jor. C'est une bande de terre divisée en huit bandes. Plus tu t'enfonces dans les terres, plus tu te rapproches des Désolations infinies. On suppose qu'elle forme un anneau ou une demi-sphère à cause de la courbure de l'horizon."
18,INT,"Geography
",15,"Les Désolations infinies - à partir d'environ mille miles de la Côte, selon divers facteurs, cette terre est inhospitalière, inexplorable et, très franchement, maudite. Chaque bande possède sa propre version de ces désolations.",,"Les Désolations infinies - à partir d'environ mille miles de la Côte, selon divers facteurs, cette terre est inhospitalière, inexplorable et, très franchement, maudite. Chaque bande possède sa propre version de ces désolations."
19,INT,City,9,Guilde du fleuve - compagnie centrée sur la pêche et la navigation fluviale.,,Guilde du fleuve - compagnie centrée sur la pêche et la navigation fluviale.
20,INT,"Geography, City",7,"Jardin gobelin - citadelle construite par les nains, située à l'extrémité sud de Tolstad. C'est aujourd'hui un sanctuaire et une serre gobeline.",,"Jardin gobelin - citadelle construite par les nains, située à l'extrémité sud de Tolstad. C'est aujourd'hui un sanctuaire et une serre gobeline."
21,STR,"Religion, Politics, History",12,"Numénisme - idéologie des dieux communs. Quand les divinités marchaient parmi nous, elles bâtirent de nombreux grands empires, dont Norvik.",,"Numénisme - idéologie des dieux communs. Quand les divinités marchaient parmi nous, elles bâtirent de nombreux grands empires, dont Norvik."
22,CHA,City,7,"Le Palais - surnom officieux des dirigeants actuels de Norvik. Il vient du District du Palais, où réside l'essentiel de l'autorité centrale.",,"Le Palais - surnom officieux des dirigeants actuels de Norvik. Il vient du District du Palais, où réside l'essentiel de l'autorité centrale."
23,INT,City,10,"District du Palais - l'un des cinq districts de Norvik. Il abrite des aristocrates, des bureaucrates et les vestiges de la Cour d'Urth.",,"District du Palais - l'un des cinq districts de Norvik. Il abrite des aristocrates, des bureaucrates et les vestiges de la Cour d'Urth."
24,STR,"Religion, City, EM",1,Urth - ton dieu.,,Urth - ton dieu.
25,CHA,City,13,"Milice de Tolstad - en gros, une bande de gobelins qui empêche les monstres d'entrer depuis les Chemins de la Sous-Côte. Ils s'occupent aussi des incendies et sont surtout financés par le HWBT.",,"Milice de Tolstad - en gros, une bande de gobelins qui empêche les monstres d'entrer depuis les Chemins de la Sous-Côte. Ils s'occupent aussi des incendies et sont surtout financés par le HWBT."
26,WIS,Religion,8,"Départ de Tol - fête norvikienne. Elle honore Tol, le frère d'Urth, parti explorer les désolations. On la célèbre généralement avec des gâteaux au miel et du vin de perle.",,"Départ de Tol - fête norvikienne. Elle honore Tol, le frère d'Urth, parti explorer les désolations. On la célèbre généralement avec des gâteaux au miel et du vin de perle."
27,CHA,"Language
",13,Vin de perle - de la bonne came.,,Vin de perle - de la bonne came.
28,INT,"Politics, History, City",12,"Déclaration de prévention des incendies - adoptée il y a quelques années, cette déclaration est une tentative gouvernementale de freiner la propagation des feux en employant du personnel toujours prêt dans chaque district. Les temps de réponse sont descendus sous les dix minutes.",,"Déclaration de prévention des incendies - adoptée il y a quelques années, cette déclaration est une tentative gouvernementale de freiner la propagation des feux en employant du personnel toujours prêt dans chaque district. Les temps de réponse sont descendus sous les dix minutes."
29,INT,Esoterics,9,"Système de ventilation - Tolstad est pleine de petits trous et de conduits d'aération. Ils font circuler l'air des vents du fleuve dans tous les tunnels. Personne ne sait exactement comment ils fonctionnent, mais ils brassent l'air chaud comme l'air froid. Probablement de nature magique.",,"Système de ventilation - Tolstad est pleine de petits trous et de conduits d'aération. Ils font circuler l'air des vents du fleuve dans tous les tunnels. Personne ne sait exactement comment ils fonctionnent, mais ils brassent l'air chaud comme l'air froid. Probablement de nature magique."
30,STR,History,8,"Guerre de la Côte - la grande guerre. Un conflit contre les Arcanistes de Reeds, ainsi que toutes les autres nations qui leur étaient liées le long de la Côte. Un horrible gaspillage de vies humaines, qui en coûta des millions. Il n'y avait aucun honneur dans ce combat. C'est ce que tu sais.",,"Guerre de la Côte - la grande guerre. Un conflit contre les Arcanistes de Reeds, ainsi que toutes les autres nations qui leur étaient liées le long de la Côte. Un horrible gaspillage de vies humaines, qui en coûta des millions. Il n'y avait aucun honneur dans ce combat. C'est ce que tu sais."
31,INT,"History, Esoterics",16,"Géhenne - royaume mythique du mal. Parfois appelé le plan le plus inhospitalier de toute l'existence. Les anciens diables peuvent raconter des histoires sur ce domaine étrange, et expliquer comment même leurs maîtres évitaient ses pentes brûlantes.",,"Géhenne - royaume mythique du mal. Parfois appelé le plan le plus inhospitalier de toute l'existence. Les anciens diables peuvent raconter des histoires sur ce domaine étrange, et expliquer comment même leurs maîtres évitaient ses pentes brûlantes."
32,CHA,Geography,9,Les Trous - argot courant pour désigner la flèche centrale d'appartements de Tolstad. Ceux du bas sont moins luxueux.,,Les Trous - argot courant pour désigner la flèche centrale d'appartements de Tolstad. Ceux du bas sont moins luxueux.
33,INT,City,7,Maison de la dîme - guilde de collecte des taxes. Chaque district a la sienne. Personne ne les aime.,,Maison de la dîme - guilde de collecte des taxes. Chaque district a la sienne. Personne ne les aime.
34,STR,"Politics, City",10,Magistrat - plus haute fonction gouvernementale après le Seigneur Patriarche. Choisi pour gouverner un district de Norvik pendant dix à douze ans selon sa lignée.,,Magistrat - plus haute fonction gouvernementale après le Seigneur Patriarche. Choisi pour gouverner un district de Norvik pendant dix à douze ans selon sa lignée.
35,INT,Spells,8,Communication avec les animaux - sort de divination de premier niveau. Donne la capacité de comprendre les bêtes et de communiquer verbalement avec elles. Ces conversations peuvent être étonnamment instructives.,,Communication avec les animaux - sort de divination de premier niveau. Donne la capacité de comprendre les bêtes et de communiquer verbalement avec elles. Ces conversations peuvent être étonnamment instructives.
36,INT,Spells,10,"Verrou arcanique - sort d'abjuration de deuxième niveau. Il verrouille les passages jusqu'à dissipation. Il coûte un peu à lancer, mais une fois en place, c'est une vraie nuisance.",,"Verrou arcanique - sort d'abjuration de deuxième niveau. Il verrouille les passages jusqu'à dissipation. Il coûte un peu à lancer, mais une fois en place, c'est une vraie nuisance."
37,INT,Spells,8,"Déblocage - transmutation de deuxième niveau. Ouvre les choses. La définition de ""verrouillé"" s'est beaucoup élargie au fil des siècles. Mais le sort fonctionne sur la plupart des contenants ou passages fermés.",,"Déblocage - transmutation de deuxième niveau. Ouvre les choses. La définition de ""verrouillé"" s'est beaucoup élargie au fil des siècles. Mais le sort fonctionne sur la plupart des contenants ou passages fermés."
38,INT,"Politics, Geography",12,"Horde dorée - vestiges d'un Empire céleste en Divinii Torum. Menés par un terrifiant <i>Choeur</i>, un être de lumière hyper-intelligent, ils répandent la peur sur leurs terres ainsi que dans certaines parties de l'ouest askanii.",,"Horde dorée - vestiges d'un Empire céleste en Divinii Torum. Menés par un terrifiant <i>Choeur</i>, un être de lumière hyper-intelligent, ils répandent la peur sur leurs terres ainsi que dans certaines parties de l'ouest askanii."
39,INT,"Politics, Geography",13,Ligne dorée - barrière géographique et mur magique qui coupent les Terres des clans en deux. La partie occidentale est occupée par la Horde dorée. Cet armistice fragile est considéré par beaucoup comme invalide à cause de la guérilla constante menée par les halfelins coincés à l'ouest.,,Ligne dorée - barrière géographique et mur magique qui coupent les Terres des clans en deux. La partie occidentale est occupée par la Horde dorée. Cet armistice fragile est considéré par beaucoup comme invalide à cause de la guérilla constante menée par les halfelins coincés à l'ouest.
40,WIS,"History, Politics",12,"Génocide gobelin - destruction des clans gobelins d'Askanii par Urth, il y a environ cinquante ans. Trois clans furent ensuite ""intégrés"" à Norvik, leur nouvelle génération étant placée dans l'enseignement humain.",,"Génocide gobelin - destruction des clans gobelins d'Askanii par Urth, il y a environ cinquante ans. Trois clans furent ensuite ""intégrés"" à Norvik, leur nouvelle génération étant placée dans l'enseignement humain."
41,INT,Politics,10,"Démocratie - censée venir des premières civilisations de l'Ère arcanique dans le Vieux Diminor, c'est le règne de la majorité. Ceux qui disposent du suffrage peuvent voter pour permettre leur gouvernement préféré. Un processus vraiment chaotique et inefficace.",,"Démocratie - censée venir des premières civilisations de l'Ère arcanique dans le Vieux Diminor, c'est le règne de la majorité. Ceux qui disposent du suffrage peuvent voter pour permettre leur gouvernement préféré. Un processus vraiment chaotique et inefficace."
42,CHA,"Language
",9,Urth Pray Tell - expression norvikienne. Cri d'abandon face au savoir et au pouvoir du dieu protecteur de la ville. Parfois employée ironiquement par les laïcs depuis sa mort.,,Urth Pray Tell - expression norvikienne. Cri d'abandon face au savoir et au pouvoir du dieu protecteur de la ville. Parfois employée ironiquement par les laïcs depuis sa mort.
43,INT,History,13,"Ère des Portes - période d'environ trois mille ans. Première ère, nommée d'après les nombreuses portes ouvertes par Jor pour relier son royaume à tous les autres. Elle prit fin il y a environ deux mille ans, si l'on en croit les érudits modernes.",,"Ère des Portes - période d'environ trois mille ans. Première ère, nommée d'après les nombreuses portes ouvertes par Jor pour relier son royaume à tous les autres. Elle prit fin il y a environ deux mille ans, si l'on en croit les érudits modernes."
44,INT,History,14,"Ère du Déclin - période d'environ mille cent dix ans, si l'on en croit les érudits modernes. Deuxième ère, aussi appelée Ère de la Chute, nommée d'après le lent déclin qui suivit la fermeture des portes de Jor. Elle prit fin il y a environ mille ans.",,"Ère du Déclin - période d'environ mille cent dix ans, si l'on en croit les érudits modernes. Deuxième ère, aussi appelée Ère de la Chute, nommée d'après le lent déclin qui suivit la fermeture des portes de Jor. Elle prit fin il y a environ mille ans."
45,INT,History,15,Ère divine - période de trois cent soixante-dix-neuf ans. Nommée pour la naissance de nombreux dieux marcheurs autour de la Côte. Elle prit fin il y a cinq cent trente-huit ans.,,Ère divine - période de trois cent soixante-dix-neuf ans. Nommée pour la naissance de nombreux dieux marcheurs autour de la Côte. Elle prit fin il y a cinq cent trente-huit ans.
46,INT,History,12,"Ère arcanique - 511 ans de croissance magique et technologique rapide, ainsi que de naissance et de mort des grandes magocraties humaines de Diminor, aujourd'hui Reeds. Elle prit fin il y a vingt-sept ans.",,"Ère arcanique - 511 ans de croissance magique et technologique rapide, ainsi que de naissance et de mort des grandes magocraties humaines de Diminor, aujourd'hui Reeds. Elle prit fin il y a vingt-sept ans."
47,INT,History,9,Ère d'après-guerre - l'ère actuelle. Elle dure depuis vingt-sept ans. Le nom a été choisi à Reeds. Il peut encore changer.,,Ère d'après-guerre - l'ère actuelle. Elle dure depuis vingt-sept ans. Le nom a été choisi à Reeds. Il peut encore changer.
48,INT,Geography,12,Diminor - nom de Reeds pendant l'Ère arcanique. Souvent appelé Vieux Diminor. Le nom fut changé par les révolutionnaires Libre-Marcheurs pour marquer la fin des anciennes magocraties.,,Diminor - nom de Reeds pendant l'Ère arcanique. Souvent appelé Vieux Diminor. Le nom fut changé par les révolutionnaires Libre-Marcheurs pour marquer la fin des anciennes magocraties.
49,INT,Politics,14,"Accord des Terres des clans - en 13 EG, il y a quatorze ans, une paix fragile fut signée dans les Terres des clans halfelines à l'ouest de Norvik. Depuis, la Horde dorée est une puissante alliée de la ville.",,"Accord des Terres des clans - en 13 EG, il y a quatorze ans, une paix fragile fut signée dans les Terres des clans halfelines à l'ouest de Norvik. Depuis, la Horde dorée est une puissante alliée de la ville."
50,CHA,Politics,8,"Incident de Muletown - en 25 EG, il y a deux ans, une bagarre signalée avec un arcaniste local eut lieu dans la colonie norvikienne la plus au nord, Urthport. Depuis, la ville est envahie de mules dont les habitants n'arrivent pas à se débarrasser. Ainsi, la colonie est communément appelée Muletown.",,"Incident de Muletown - en 25 EG, il y a deux ans, une bagarre signalée avec un arcaniste local eut lieu dans la colonie norvikienne la plus au nord, Urthport. Depuis, la ville est envahie de mules dont les habitants n'arrivent pas à se débarrasser. Ainsi, la colonie est communément appelée Muletown."
51,INT,Geography,9,"Urthport - ville la plus septentrionale, ou jarldom, sous influence norvikienne, et dernière halte civilisée le long du fleuve. Célèbre pour ses fourrures, ses expéditions et, bien sûr, l'incident de Muletown.",,"Urthport - ville la plus septentrionale, ou jarldom, sous influence norvikienne, et dernière halte civilisée le long du fleuve. Célèbre pour ses fourrures, ses expéditions et, bien sûr, l'incident de Muletown."
52,CHA,Esoterics,8,"Incident de l'escargot - en 26 EG, l'an dernier, un escargot anti-magie s'introduisit dans les barrières magiques de la chambre forte du Palais et prit accidentellement le Heaume d'Urth, l'artefact le plus sacré de tout Norvik. Ce fut un scandale d'un mois, longuement couvert par la presse, tandis que des aventuriers plongeaient profondément sous terre à la recherche de l'escargot. Mais il s'avéra que l'escargot n'avait jamais quitté la chambre forte, et la couronne fut vite récupérée.",,"Incident de l'escargot - en 26 EG, l'an dernier, un escargot anti-magie s'introduisit dans les barrières magiques de la chambre forte du Palais et prit accidentellement le Heaume d'Urth, l'artefact le plus sacré de tout Norvik. Ce fut un scandale d'un mois, longuement couvert par la presse, tandis que des aventuriers plongeaient profondément sous terre à la recherche de l'escargot. Mais il s'avéra que l'escargot n'avait jamais quitté la chambre forte, et la couronne fut vite récupérée."
53,CON,Esoterics,15,Ère ésotérique - joue les fils.,,Ère ésotérique - joue les fils.
54,INT,Geography,9,"Bande - une division ésotérique sépare la Côte circulaire de Jor en huit zones géographiques, communément appelées ""bandes"". Chaque bande possède des traits ésotériques et naturels uniques, et s'étend de la Côte jusqu'aux Désolations infinies.",,"Bande - une division ésotérique sépare la Côte circulaire de Jor en huit zones géographiques, communément appelées ""bandes"". Chaque bande possède des traits ésotériques et naturels uniques, et s'étend de la Côte jusqu'aux Désolations infinies."
55,INT,Geography,10,"Reeds - l'une des huit bandes le long de la Côte. C'est une terre tempérée de basses plaines et de nombreux lacs. Elle est généralement considérée comme la patrie des humains. De vastes portions restent maudites, abritant des villes mortes-vivantes entières, des vallées éternellement en flammes et des montagnes flottantes.",,"Reeds - l'une des huit bandes le long de la Côte. C'est une terre tempérée de basses plaines et de nombreux lacs. Elle est généralement considérée comme la patrie des humains. De vastes portions restent maudites, abritant des villes mortes-vivantes entières, des vallées éternellement en flammes et des montagnes flottantes."
56,INT,Geography,11,"Vourgeni - l'une des huit bandes le long de la Côte. Haut pays de falaises, de marais et de reliefs montagneux qui défient la gravité. Terre des géants, des humains chamaniques et des gnomes tribaux.",,"Vourgeni - l'une des huit bandes le long de la Côte. Haut pays de falaises, de marais et de reliefs montagneux qui défient la gravité. Terre des géants, des humains chamaniques et des gnomes tribaux."
57,INT,Geography,12,"Hae'Xi - l'une des huit bandes le long de la Côte. Signifie soit ""Gueule croissante"", soit ""Vers les airs"" en abyssal. Jungle infernale profondément maudite, remplie de rivières volcaniques, d'insectes mangeurs de chair et de plantes meurtrières. Ancien sanctuaire elfique, elle abrite aujourd'hui des seigneurs de guerre démoniaques, des cités tieffelines et des croisés célestes.",,"Hae'Xi - l'une des huit bandes le long de la Côte. Signifie soit ""Gueule croissante"", soit ""Vers les airs"" en abyssal. Jungle infernale profondément maudite, remplie de rivières volcaniques, d'insectes mangeurs de chair et de plantes meurtrières. Ancien sanctuaire elfique, elle abrite aujourd'hui des seigneurs de guerre démoniaques, des cités tieffelines et des croisés célestes."
58,INT,Geography,13,"Kargamesh - l'une des huit bandes le long de la Côte. Terre de vastes brousses xériques et de déserts. Célèbre pour ses villes souterraines et ses royaumes d'oasis. Terre des élémentaires, des halfelins et des nombreux ""touchés par les plans"" entre les deux.",,"Kargamesh - l'une des huit bandes le long de la Côte. Terre de vastes brousses xériques et de déserts. Célèbre pour ses villes souterraines et ses royaumes d'oasis. Terre des élémentaires, des halfelins et des nombreux ""touchés par les plans"" entre les deux."
59,INT,Geography,14,"Fell Tire - l'une des huit bandes le long de la Côte. Terre à moitié ruinée par des millénaires de guerre, ses basses terres rouges représentent un quart de toute la production alimentaire de la Côte, exportée depuis les ports commerciaux de Bloodcity Bay. Le nom ""Fell Tire"" viendrait soit de l'orc pour ""Haut lieu"", soit de l'infernal pour ""Mauvais fort"". Ou de la langue gobeline pour ""Terre des collines"". Le débat est vif.",,"Fell Tire - l'une des huit bandes le long de la Côte. Terre à moitié ruinée par des millénaires de guerre, ses basses terres rouges représentent un quart de toute la production alimentaire de la Côte, exportée depuis les ports commerciaux de Bloodcity Bay. Le nom ""Fell Tire"" viendrait soit de l'orc pour ""Haut lieu"", soit de l'infernal pour ""Mauvais fort"". Ou de la langue gobeline pour ""Terre des collines"". Le débat est vif."
