ID,ENGLISH,GERMAN,FRENCH
BG_AKZEL_5,Archéologue,,Archéologue
BG_ALFOZ_3,Contremaître,,Contremaître
BG_ARN_1,Enfant ouvrier,,Enfant ouvrier
BG_AVIK_1,Prolétariat,,Prolétariat
BG_BOND_15,Demi-liche,,Demi-liche
BG_BORGO_13,Paladin,,Paladin
BG_BRAXO_2,Scribe,,Scribe
BG_BRR_4,Rôdeur,,Rôdeur
BG_CHAMAR_2,Clerc,,Clerc
BG_DARROW_3,Seigneur-monnayeur,,Seigneur-monnayeur
BG_DRUMMER_1,Entrepreneur,,Entrepreneur
BG_ETTIR_10,Ange,,Ange
BG_EVER_18,Trifler,,Trifler
BG_FREY_5,Noble,,Noble
BG_GORM_12,Paladin,,Paladin
BG_GOUR_9,Troll de givre,,Troll de givre
BG_ISK_16,Magicien,,Magicien
BG_IVCX_15,Solar déchu,,Solar déchu
BG_JEHANNE_1,Ouvrière d'usine,,Ouvrière d'usine
BG_KRAAID_11,Barbare,,Barbare
BG_KULL_7,Gardien,,Gardien
BG_LISA_6,Jeune guenaude,,Jeune guenaude
BG_MASKED_5,Assassine,,Assassine
BG_MERI_6,Écrivain,,Écrivain
BG_MISKA_17,Cheffe de clan,,Cheffe de clan
BG_MODISSA_2,Écrivaine,,Écrivaine
BG_MOONGORE_3,Combattante,,Combattante
BG_NEARLY_1,Barde,,Barde
BG_NESSAN_6,Druidesse,,Druidesse
BG_OLZIS_14,Gynosphinx,,Gynosphinx
BG_OST_9,Roublard,,Roublard
BG_OYU_2,Entrepreneuse,,Entrepreneuse
BG_PINJA_2,Ensorceleuse,,Ensorceleuse
BG_RAZZ_8,Roublard,,Roublard
BG_RIX_3,Entrepreneuse,,Entrepreneuse
BG_ROLLO_1,Sans emploi,,Sans emploi
BG_SHEN_1,Érudit,,Érudit
BG_SIMII_2,Ouvrier d'usine,,Ouvrier d'usine
BG_SMARTER_1,Roublard,,Roublard
BG_SNELL_3,Roublard,,Roublard
BG_SNURRE_4,Érudit,,Érudit
BG_STEN_1,Sans emploi,,Sans emploi
BG_THAL_3,Entrepreneur,,Entrepreneur
BG_TOLI_1,Sans emploi,,Sans emploi
BG_UNMASKED_5,Occultiste,,Occultiste
BG_URTH_20,Clerc,,Clerc
BG_NISSE_1,Sans emploi,,Sans emploi
BG_VIIRA_4,Combattante,,Combattante
BG_VISKEN_17,Entrepreneur,,Entrepreneur
BG_XERBA_1,Employée de service,,Employée de service
IP_AKZEL_5_DEX,"Ceci, juste là, est le quatrième pilier du système féodal. Un <i>AVENTURIER</i> pur sang, spéléologue, fouilleur, creuseur, vagabond.",,"Ceci, juste là, est le quatrième pilier du système féodal. Un <i>AVENTURIER</i> pur sang, spéléologue, fouilleur, creuseur, vagabond."
IP_AKZEL_10,"Même s'il a vu beaucoup de merde dans sa vie, Akzel garde ses yeux luisants fixés sur le prochain prix : la vraie récompense d'une vie sur les routes, un <i>trésor</i>.",,"Même s'il a vu beaucoup de merde dans sa vie, Akzel garde ses yeux luisants fixés sur le prochain prix : la vraie récompense d'une vie sur les routes, un <i>trésor</i>."
IP_AKZEL_15,"Il le trouvera, un jour, peut-être. Mais pas aujourd'hui. Peut-être le reverras-tu ? Qui essaies-tu de tromper, bien sûr que oui.",,"Il le trouvera, un jour, peut-être. Mais pas aujourd'hui. Peut-être le reverras-tu ? Qui essaies-tu de tromper, bien sûr que oui."
IP_AKZEL_20,"Son expertise dans la Cité d'En Bas n'est pas inutile. Tu devrais le garder près de toi. Il sera vraiment utile si tu veux un jour te lancer dans l'exploration de donjons indépendante. Sérieusement, il y a beaucoup d'argent là-dedans !",,"Son expertise dans la Cité d'En Bas n'est pas inutile. Tu devrais le garder près de toi. Il sera vraiment utile si tu veux un jour te lancer dans l'exploration de donjons indépendante. Sérieusement, il y a beaucoup d'argent là-dedans !"
IP_ALFOZ_5_CON,Il tient à ses idéaux avec ses tripes et pas grand-chose d'autre.,,Il tient à ses idéaux avec ses tripes et pas grand-chose d'autre.
IP_ALFOZ_10,Une poussée gagnera son respect. C'est sa manière.,,Une poussée gagnera son respect. C'est sa manière.
