ID,ResponseAS,Tags,DC,ENGLISH,GERMAN,FRENCH
1,INT,Spells,10,"Speak with Dead - a third level necromantic spell. Allows you to animate a spirit into a corpse and have it answer five questions, as long as that corpse retains a suitable vessel. That mainly boils down to still having some sort of mouth, including a functioning jaw.",,"Communication avec les morts - sort nécromantique de troisième niveau. Permet d'animer un esprit dans un cadavre et de lui faire répondre à cinq questions, tant que ce cadavre conserve un réceptacle adapté. En gros, cela signifie surtout qu'il doit encore avoir une sorte de bouche, avec une mâchoire fonctionnelle."
2,INT,Spells,8,Mage Hand - a common arcane cantrip. Can be used to grab things from afar. Very useful.,,Main du mage - tour de magie arcanique courant. Peut servir à saisir des objets à distance. Très pratique.
3,WIS,Esoterics,8,"Cleric - a servant of a god, deeply devoted and spiritually connected. Typically a divine spellcaster given Power through their deity.",,"Clerc - serviteur d'un dieu, profondément dévoué et spirituellement lié. Généralement un lanceur de sorts divins qui reçoit son Pouvoir de sa divinité."
4,INT,City,12,"Citizenry - a privileged political and legal status afforded to landed Urthfolk, burghers, and members of the aristocracy.",,"Citoyenneté - statut politique et légal privilégié accordé aux Urthfolks propriétaires, aux bourgeois et aux membres de l'aristocratie."
5,STR,Folk,6,Urthfolk - the people of Urth. The ancestors of those who reconquered the Askanii coast. True mythological heroes.,,Urthfolk - le peuple d'Urth. Les ancêtres de ceux qui reconquirent la côte askanii. De véritables héros mythologiques.
6,STR,Politics,6,Party of Norvik - the inheritors of Urth's will. A theocratic organization founded to uphold the old ways. Headed by magistrates and twenty-something noble families.,,Parti de Norvik - les héritiers de la volonté d'Urth. Organisation théocratique fondée pour préserver les anciennes voies. Dirigée par des magistrats et une vingtaine de familles nobles.
7,DEX,Politics,6,"Freestrider - the new way! People in the east have overthrown the old wizards and gods. For years the revolution has slowly crept into the city. Now it's time to finally join the Free Cities, and get rich!",,"Libre-Marcheur - la nouvelle voie ! À l'est, le peuple a renversé les vieux magiciens et les dieux. Depuis des années, la révolution avance lentement dans la ville. Il est temps de rejoindre enfin les Cités libres et de devenir riche !"
8,WIS,Politics,6,"Azgalist - the workers who built this city want to rule it. Seems only just. Their vision is of a fair and even society, where those who live underneath rise up to show their worth. After all, why can't we share?",,"Azgaliste - les travailleurs qui ont bâti cette ville veulent la gouverner. Cela semble juste. Leur vision est celle d'une société équitable et équilibrée, où ceux qui vivent en dessous se soulèvent pour prouver leur valeur. Après tout, pourquoi ne pourrait-on pas partager ?"
9,STR,City,10,Norvik - your home city. Founded by your god towards the end of the Coast War. It is built upon several layers of ancient ruins.,,Norvik - ta ville natale. Fondée par ton dieu vers la fin de la Guerre de la Côte. Elle est bâtie sur plusieurs strates de ruines antiques.
10,INT,Spells,10,"Charm Person - a first level enchantment spell. If the target fails a wisdom check, you'll be their favorite person for a little while. Of course, after that they will surely hate you. But who cares about that?",,"Charme-personne - sort d'enchantement de premier niveau. Si la cible échoue à un test de sagesse, tu deviendras sa personne préférée pendant un petit moment. Bien sûr, ensuite elle te détestera sûrement. Mais qui se soucie de ça ?"
