ID,ENGLISH,CHINESE,GERMAN,SPANISH,FRENCH
Quest_1_1,The Tea Shop that Blew Up,...,,,La Boutique de Thé qui a Explosé
Quest_1_2,Your purpose on Tolstad is to investigate an exploded tea shop. Locate this establishment and gain entry.,,,,Votre mission à Tolstad est d'enquêter sur une boutique de thé qui a explosé. Localisez l'établissement et trouvez un moyen d'y entrer.
Quest_1_3,"The entrance to the tea shop has been shut by Coinlord Darrow. If you want to enter legally, you need his blessing.",...,,,"L'entrée de la boutique de thé a été fermée par le Seigneur-monnayeur Darrow. Si vous voulez entrer légalement, il vous faut sa bénédiction."
Quest_1_4,You've managed to get inside the Tea Shop. Time to investigate!,...,,,Vous avez réussi à entrer dans la Boutique de Thé. Il est temps d'enquêter !
Quest_1_5,"Clue: You found a magic metal brooch in the ruins. It was half-melted. No normal fire could ever harm a magic item, even a minor one like this.",...,,,"Indice : vous avez trouvé une broche métallique magique dans les ruines. Elle était à moitié fondue. Aucun feu normal ne pourrait abîmer un objet magique, même mineur comme celui-ci."
Quest_1_6,Clue: You found Kargameshian tea left in the ruined tea press. The state of the machine makes it clear someone was brewing at the time of the explosion.,...,,,Indice : vous avez trouvé du thé kargameshien dans la presse à thé détruite. L'état de la machine montre clairement que quelqu'un préparait du thé au moment de l'explosion.
Quest_1_7,"Clue: The iron door to the back office was blown open after its hinges melted. That means the explosion surely originated from the central chamber, and that it was extremely hot.",,,,"Indice : la porte en fer du bureau arrière a été soufflée après que ses gonds ont fondu. Cela signifie que l'explosion venait sûrement de la chambre centrale, et qu'elle était extrêmement chaude."
Quest_1_8,"Clue: You found a copy of The Undercommon, a magical magazine infamous for its indestructible paper.",,,,"Indice : vous avez trouvé un exemplaire de The Undercommon, un magazine magique célèbre pour son papier indestructible."
Quest_1_9,You found a corpse underneath the rubble. The corpse of an elf. You need to report this to Lady Sageleaf.,...,,,Vous avez trouvé un corps sous les décombres. Le corps d'une elfe. Vous devez le signaler à Dame Sageleaf.
Quest_1_10,"You convinced Lady Sageleaf that you're an idiot, thus allowing you to not contradict the city's official statement. On election day, you should speak with the Coinlord. He will be happy.",...,,,"Vous avez convaincu Dame Sageleaf que vous étiez idiot, ce qui vous permet de ne pas contredire la déclaration officielle de la ville. Le jour de l'élection, vous devriez parler au Seigneur-monnayeur. Il sera content."
Quest_1_11,You gave Lady Sageleaf what she needed - evidence to contradict the city's official statement. You've picked a side. The HBT will surely be in your favor now.,...,,,Vous avez donné à Dame Sageleaf ce qu'il lui fallait : des preuves pour contredire la déclaration officielle de la ville. Vous avez choisi un camp. Le HBT sera sûrement de votre côté maintenant.
Quest_1_12,Now for the crucial part: finding the responsible party. Who brought this Necklace of Fireballs to Norvik? Who used it? And why? You have until the election to figure it out.,,,,"Maintenant, la partie cruciale : trouver le responsable. Qui a apporté ce Collier de Boules de Feu à Norvik ? Qui l'a utilisé ? Et pourquoi ? Vous avez jusqu'à l'élection pour le découvrir."
,,,,,
,,,,,
,,,,,
,,,,,
Quest_2_1,Dragon of Tolstad,,,,Dragon de Tolstad
Quest_2_2,"You're here on request of Lady Sageleaf, a goblin chieftain in Tolstad. Go see her, right away. She's in the Goblin Garden, at the southern tip of Tolstad.",,,,"Vous êtes ici à la demande de Dame Sageleaf, cheffe gobeline à Tolstad. Allez la voir, immédiatement. Elle est dans le Jardin des Gobelins, à l'extrémité sud de Tolstad."
Quest_2_3,"You've spoken with Lady Miska Sageleaf and begun a joint operation with one of her pawns, a goblin named Snell. Let's hope he doesn't get in your way too much.",,,,"Vous avez parlé avec Dame Miska Sageleaf et commencé une opération conjointe avec l'un de ses pions, un gobelin nommé Snell. Espérons qu'il ne vous gênera pas trop."
,,,,,
Quest_3_1,Coinlord's Meet,,,,Audience du Seigneur-monnayeur
Quest_3_2,"You do not have permission to enter the Tea Shop. You need authorization from the Magistrate of Tolstad: Coinlord Darrow. You know his mansion can be found up the hill, on central Tolstad.",,,,"Vous n'avez pas l'autorisation d'entrer dans la Boutique de Thé. Il vous faut l'accord du Magistrat de Tolstad : le Seigneur-monnayeur Darrow. Vous savez que son manoir se trouve en haut de la colline, au centre de Tolstad."
Quest_3_3,The Magistrate wants to have a meet with you. But he is busy during the day. His doors will be open when it gets dark.,,,,Le Magistrat veut vous rencontrer. Mais il est occupé pendant la journée. Ses portes seront ouvertes quand il fera nuit.
Quest_3_4,"You swore an oath to Coinlord Nicholas Darrow, in exchange for access to the tea shop. You serve your master well.",,,,Vous avez prêté serment au Seigneur-monnayeur Nicholas Darrow en échange de l'accès à la boutique de thé. Vous servez bien votre maître.
Quest_3_5,"You refused to swear an oath to Coinlord Nicholas Darrow. He, in return, refused to give you access to the Tea Shop. You have to find another way in.",,,,"Vous avez refusé de prêter serment au Seigneur-monnayeur Nicholas Darrow. En retour, il a refusé de vous donner accès à la Boutique de Thé. Vous devez trouver un autre moyen d'entrer."
Quest_3_6,"You managed to talk your way past the Coinlord, somehow. Now you've got access to the Tea Shop, and you didn't even have to agree to some sinister deal first. Nice!",,,,"Vous avez réussi à vous faufiler verbalement devant le Seigneur-monnayeur, d'une manière ou d'une autre. Vous avez maintenant accès à la Boutique de Thé, sans même avoir accepté un pacte sinistre au préalable. Joli !"
Quest_3_7,"You missed your meeting with the Coinlord. Instead, you were given a message by the angel, Ettir.",,,,"Vous avez manqué votre rendez-vous avec le Seigneur-monnayeur. À la place, l'ange Ettir vous a transmis un message."
,,,,,
Quest_4_1,Ruffled Feathers,,,,Plumes froissées
Quest_4_2,The owner of the tea shop is unaccounted for. Locate this bird-man and find out what he knows.,,,,Le propriétaire de la boutique de thé reste introuvable. Localisez cet homme-oiseau et découvrez ce qu'il sait.
Quest_4_3,The owner left his tea shop right before the explosion. He was last seen heading below.,,,,Le propriétaire a quitté sa boutique de thé juste avant l'explosion. On l'a vu pour la dernière fois descendre vers le bas de la ville.
Quest_4_4,The owner of the tea shop was once drunkenly heard bragging about his secret escape plan: shipping himself in a crate to Reeds. You should check the warehouse on Waterlane View.,,,,"Le propriétaire de la boutique de thé s'est un jour vanté, ivre, de son plan d'évasion secret : s'expédier lui-même dans une caisse jusqu'à Reeds. Vous devriez vérifier l'entrepôt sur Waterlane View."
Quest_4_5,"Drummer was hiding in a crate, set to be exported to Reeds. You found and interrogated him about his tea shop and his illegal smuggling operation. He told you there was a meeting planned between an information broker and a Freestrider right at the time of the explosion.",,,,Drummer se cachait dans une caisse destinée à l'exportation vers Reeds. Vous l'avez trouvé et interrogé sur sa boutique de thé et son trafic illégal. Il vous a dit qu'une rencontre était prévue entre un courtier en informations et un Libre-Marcheur au moment précis de l'explosion.
Quest_4_6,"You let Drummer go, without taking his papers. Maybe he'll leave, or maybe he'll stay. Who knows?",,,,"Vous avez laissé partir Drummer sans prendre ses papiers. Peut-être partira-t-il, ou peut-être restera-t-il. Qui sait ?"
Quest_4_7,"You took Drummer's papers, making sure he won't leave the city too easily. Maybe he'll slip away anyway, or maybe he'll stick around. Who knows?",,,,"Vous avez pris les papiers de Drummer, ce qui l'empêchera de quitter la ville trop facilement. Peut-être s'échappera-t-il quand même, ou peut-être restera-t-il dans le coin. Qui sait ?"
Quest_5_1,The Star Witness,,,,Le témoin vedette
