ID,ENGLISH,GERMAN,FRENCH
FEAT_LONE_STR,"Lone Cleric - At the start of your Short Rest, heal an additional amount equal to the levels of exhaustion you have.",...,"Clerc solitaire - Au début de votre repos court, vous récupérez un montant supplémentaire égal à vos niveaux d'épuisement."
FEAT_MEMORIZER_INT,"Master Memorizer - During your Short Rest, you restore two random spell slots instead of one.",,"Maître mémorisateur - Pendant votre repos court, vous récupérez deux emplacements de sort aléatoires au lieu d'un seul."
FEAT_COMPANY_CHA,"Friendly Company - During Short Rests, always roll Hit Die with advantage. Snell also gains an extra proficiency in his initiative rolls.",,"Bonne compagnie - Pendant les repos courts, lancez toujours les Dés de Vie avec avantage. Snell gagne aussi une maîtrise supplémentaire à ses jets d'initiative."
FEAT_PARANOIA_DEX,Infectious Paranoia - Advantage on initiative rolls.,,Paranoïa contagieuse - Avantage aux jets d'initiative.
FEAT_SURVIVAL_CON,Survival of the Fittest - Advantage on Death Saving Throws.,,Survie du plus apte - Avantage aux jets de sauvegarde contre la mort.
FEAT_EYE_CHA,Reading the Room - Advantage on behold checks.,,Lire la salle - Avantage aux tests d'observation.
FEAT_LUCK_CHA,"Luck of the Fool - Whenever you roll a natural 1, reroll the d20 and take 1d4 damage. If the new result is also a natural 1, repeat this processes. This damage cannot take you below 1 HP.",,"Chance du fou - Chaque fois que vous obtenez un 1 naturel, relancez le d20 et subissez 1d4 dégâts. Si le nouveau résultat est aussi un 1 naturel, répétez le processus. Ces dégâts ne peuvent pas vous faire descendre sous 1 PV."
FEAT_MUSH_DEX,"Dungeoneering Reflexes - Whenever you roll 10 or below, add an extra proficiency to the roll.",,"Réflexes de donjon - Chaque fois que vous obtenez 10 ou moins, ajoutez une maîtrise supplémentaire au jet."
FEAT_PROF_STR,"Professional Cleric - You cannot critically fail. (When you roll a natural 1, it is not treated as an automatic failure.)",,"Clerc professionnel - Vous ne pouvez pas faire d'échec critique. (Quand vous obtenez un 1 naturel, il n'est pas traité comme un échec automatique.)"
FEAT_BALANCE_INT,"Curved, Yet Balanced Bell - Whenever any d20 is rolled, the Strings of Jor causes the outcome to lean towards 10. The chance of critical rolls are diminished.",,"Cloche courbée, mais équilibrée - Chaque fois qu'un d20 est lancé, les Fils de Jor font pencher le résultat vers 10. Les chances de jets critiques sont diminuées."
FEAT_BELLY_CON,Dark Belly of the Soul - Resistance to all damage when below 50% HP.,,Sombre ventre de l'âme - Résistance à tous les dégâts quand vous êtes sous 50 % de PV.
FEAT_HJARTA_WIS,Hjârtat Mitt - Each level of exhaustion grants +1 to each d20 roll instead of -1.,,Hjārtat Mitt - Chaque niveau d'épuisement donne +1 à chaque jet de d20 au lieu de -1.
FEAT_MAN_STR,"A Good Man - Whenever you survive a death saving throw, you get back up with 1d20 HP.",,"Un homme bon - Chaque fois que vous survivez à un jet de sauvegarde contre la mort, vous vous relevez avec 1d20 PV."
FEAT_FRAGILE_DEX,"Fragile Immortality - Do not roll Death Saving Throws. Whenever you are above 1 HP and take damage that would take you to 0, you go to 1. If you take any damage at 1, you die.",,"Immortalité fragile - Ne lancez pas de jets de sauvegarde contre la mort. Chaque fois que vous avez plus de 1 PV et subissez des dégâts qui vous feraient tomber à 0, vous passez à 1. Si vous subissez des dégâts à 1 PV, vous mourez."
FEAT_DREAM_INT,"Imperial Dream - While speaking with someone with less intelligence than yourself, gain an extra proficiency on all d20 rolls.",,"Rêve impérial - Lorsque vous parlez avec quelqu'un de moins intelligent que vous, gagnez une maîtrise supplémentaire à tous les jets de d20."
FEAT_LIE_CHA,"Beautiful Lie - While you are at full health and 0 exhaustion, gain advantage on all d20 rolls.",,"Beau mensonge - Lorsque vous êtes à pleine santé et à 0 épuisement, gagnez l'avantage à tous les jets de d20."
FEAT_NAT_STR,Nationalist - Extra proficiency in rolls when speaking with humans.,,Nationaliste - Maîtrise supplémentaire aux jets lorsque vous parlez avec des humains.
FEAT_FRE_DEX,Freestrider - Gain a 10% additional discount in all purchases.,,Libre-Marcheur - Bénéficiez de 10 % de réduction supplémentaire sur tous les achats.
FEAT_AZG_WIS,"Azgalist - Whenever you take damage, move one step forward on a secret three step counter. On step one, a 'thesis' d20 die is thrown. On step two, if the damage you took is higher than the 'thesis' die, an 'antithesis' d4 die is thrown. On step three, the damage you took is lowered either by 1, or by the 'antithesis' die if that die was rolled during step two. This is 'synthesis', somehow. The next time you take damage, return to step one.",,"Azgaliste - Chaque fois que vous subissez des dégâts, avancez d'un cran sur un compteur secret en trois étapes. À la première étape, un d20 de « thèse » est lancé. À la deuxième, si les dégâts subis sont supérieurs au dé de « thèse », un d4 d'« antithèse » est lancé. À la troisième, les dégâts subis sont réduits de 1, ou du dé d'« antithèse » si ce dé a été lancé à la deuxième étape. C'est la « synthèse », d'une certaine façon. La prochaine fois que vous subissez des dégâts, revenez à la première étape."
FEAT_ARC_INT,"Arcanist - When you use up your last spell slot of any level, you roll a 1d100. If the result is lower than your natural intelligence, you regain that spell slot.",,"Arcaniste - Lorsque vous utilisez votre dernier emplacement de sort d'un niveau donné, lancez 1d100. Si le résultat est inférieur à votre intelligence naturelle, vous récupérez cet emplacement de sort."
FEAT_AGR_CON,"Agrarian - Whenever you pick up food, you roll 1d20. If you get 16 or higher, you get an additional food item.",,"Agrarien - Chaque fois que vous ramassez de la nourriture, lancez 1d20. Sur 16 ou plus, vous obtenez un aliment supplémentaire."
FEAT_APO_CHA,Apolitical - Increases proficiency in rolls by 1. This amount is increased to 10 on any election day.,,Apolitique - Augmente la maîtrise des jets de 1. Ce montant passe à 10 lors de tout jour d'élection.
FEAT_MONEY_DEX,Money Talks - Get 50% extra money on pickup.,,L'argent parle - Obtenez 50 % d'argent supplémentaire quand vous en ramassez.
FEAT_SPIRIT_WIS,Azgalian Spirit - Restore 1 Hit Point every hour that passes.,,Esprit azgalien - Récupérez 1 point de vie à chaque heure qui passe.
FEAT_FEMI_WIS,Lady Fair - Extra proficiency in rolls when speaking with feminine characters.,,Belle dame - Maîtrise supplémentaire aux jets lorsque vous parlez avec des personnages féminins.
FEAT_MASC_STR,Future Patriarch - Extra proficiency in rolls when speaking with masculine characters.,,Futur Patriarche - Maîtrise supplémentaire aux jets lorsque vous parlez avec des personnages masculins.
FEAT_PRINT_INT,Mass Media Propaganda - Alters ability score modifiers on equipped texts. Positive modifiers get +1 and negative modifiers get -1.,,Propagande médiatique - Modifie les modificateurs de caractéristique des textes équipés. Les modificateurs positifs gagnent +1 et les négatifs gagnent -1.
FEAT_UNITY_WIS,"Human-Dwarf Unity - While you are at full health, whenever you take damage, those dice are rolled with disadvantage.",,"Unité humano-naine - Lorsque vous êtes à pleine santé, chaque fois que vous subissez des dégâts, ces dés sont lancés avec désavantage."
FEAT_ENDURE_CON,"Azgalian Endurance - For every 3 hours spent being exhausted, you lose 1 level of exhaustion.",,"Endurance azgalienne - Pour chaque tranche de 3 heures passées épuisé, vous perdez 1 niveau d'épuisement."
FEAT_DEFEND_STR,Defend the City - Alters ability score modifiers on equipped helms. Positive modifiers get +1 and negative modifiers get -1.,,Défendre la ville - Modifie les modificateurs de caractéristique des heaumes équipés. Les modificateurs positifs gagnent +1 et les négatifs gagnent -1.
FEAT_TRUE_DEX,"True Norvikian - Roll initiative with Strength, if it is higher than your Dexterity.",,Vrai Norvikien - Lancez l'initiative avec la Force si elle est supérieure à votre Dextérité.
FEAT_MIGHT_CON,Leviathan Apparatus - Enemies always roll initiative with disadvantage.,,Appareil léviathan - Les ennemis lancent toujours l'initiative avec désavantage.
FEAT_FORCE_STR,Unstoppable Force - Alters ability score modifiers on equipped weapons. Positive modifiers get +1 and negative modifiers get -1.,,Force inarrêtable - Modifie les modificateurs de caractéristique des armes équipées. Les modificateurs positifs gagnent +1 et les négatifs gagnent -1.
FEAT_HAND_DEX,Invisible Hand - Advantage on all trifle checks.,,Main invisible - Avantage à tous les tests de roublardise.
FEAT_OBJECT_CHA,"Immovable Object - Your Dexterity modifier also adds to your haggle discount in shops, stacking with Charisma.",,"Objet inamovible - Votre modificateur de Dextérité s'ajoute aussi à votre remise de marchandage en boutique, en se cumulant avec le Charisme."
FEAT_VOICE_STR,"Voice of God - Whenever you roll a d20, another hidden d20 is rolled. If that die is the same as your die, you critically succeed. If both are natural twenties, you regain all your hit points, you regain all your spent spell slots, you lose all levels of exhaustion, and you become genuinely happy for 1d4 seconds.",,"Voix de Dieu - Chaque fois que vous lancez un d20, un autre d20 caché est lancé. Si ce dé donne le même résultat que le vôtre, vous réussissez un coup critique. Si les deux sont des vingt naturels, vous récupérez tous vos points de vie, tous vos emplacements de sort dépensés, perdez tous vos niveaux d'épuisement et devenez sincèrement heureux pendant 1d4 secondes."
FEAT_STRING_INT,"Stringmaster - For each level of spell slot you have, you gain one additional maximum spell slot.",,"Maître des Fils - Pour chaque niveau d'emplacement de sort que vous possédez, vous gagnez un emplacement de sort maximal supplémentaire."
FEAT_PATRON_CHA,"Communing Patron - If you take damage that would cause you to go to 0, a mysterious force protects you. If this happens, you take no damage, and lose one 1st level spellslot. If you do not have any 1st level spell slots, this does not happen.",,"Patron communiant - Si vous subissez des dégâts qui vous feraient tomber à 0, une force mystérieuse vous protège. Dans ce cas, vous ne subissez aucun dégât et perdez un emplacement de sort de niveau 1. Si vous n'avez aucun emplacement de sort de niveau 1, cela ne se produit pas."
FEAT_LICH_INT,"Almost Lichdom - Inspired by your favorite pale man, you no longer gain health from healing. You also become invulnerable to all forms of damage. Whenever you take damage of any kind, you always gain one level of exhaustion. Whenever you heal more than 6 HP from any one source, you lose one level of exhaustion.",,"Presque liche - Inspiré par votre homme pâle préféré, vous ne gagnez plus de santé grâce aux soins. Vous devenez aussi invulnérable à toutes les formes de dégâts. Chaque fois que vous subissez des dégâts de quelque nature que ce soit, vous gagnez toujours un niveau d'épuisement. Chaque fois que vous récupérez plus de 6 PV d'une seule source, vous perdez un niveau d'épuisement."
FEAT_NEURO_WIS,"Esoteric Neuroticism - When you do not have any SHARDS OF JOR, you can spend hit points to unlock dialog options instead. The cost begins at 1 HP, and is doubled each time you use it. The cost resets on a long rest.",,"Névrose ésotérique - Lorsque vous n'avez aucun ÉCLAT DE JOR, vous pouvez dépenser des points de vie pour débloquer des options de dialogue à la place. Le coût commence à 1 PV et double à chaque utilisation. Le coût se réinitialise lors d'un repos long."
FEAT_BLOOD_CON,"Blood Magic - When you run out of spell slots, you can cast spells with hit points instead. The cost begins at the spell slot level in HP and is multiplied by the amount of times you've activated this effect. The cost resets on a long rest.",,"Magie du sang - Lorsque vous n'avez plus d'emplacements de sort, vous pouvez lancer des sorts avec des points de vie à la place. Le coût commence au niveau de l'emplacement de sort en PV et est multiplié par le nombre de fois où vous avez activé cet effet. Le coût se réinitialise lors d'un repos long."
FEAT_CLERIC_STR,"The Cleric - Your healing spells are increased by an extra proficiency. Your heals can also be increased by your Strength modifier instead of your Wisdom modifier, if it is higher.",,"Le Clerc - Vos sorts de soin sont augmentés d'une maîtrise supplémentaire. Vos soins peuvent aussi être augmentés par votre modificateur de Force au lieu de votre modificateur de Sagesse, s'il est plus élevé."
FEAT_ROGUE_DEX,Dick-Ass Rogue - The DC of trifle checks are lowered by an extra proficiency.,,Roublard à la con - Le DD des tests de roublardise est réduit d'une maîtrise supplémentaire.
FEAT_WIZARD_INT,God-Emperor Wizard - The amount of spells you can prepare is increased by an extra proficiency. Saving Throws made by targets are also rolled at disadvantage.,,Magicien Dieu-Empereur - Le nombre de sorts que vous pouvez préparer est augmenté d'une maîtrise supplémentaire. Les jets de sauvegarde effectués par les cibles sont aussi lancés avec désavantage.
FEAT_BARB_CON,"Askanii Barbarian - Whenever you are at or below 25% HP, add an extra proficiency on all rolls.",,"Barbare d'Askanii - Chaque fois que vous êtes à 25 % de PV ou moins, ajoutez une maîtrise supplémentaire à tous les jets."
FEAT_BARD_CHA,"Lore-Seeking Bard - Your Behold Checks are rolled with an extra proficiency. Additionally, DCs on flirt rolls are lowered by your proficiency.",,"Barde chercheur de savoir - Vos tests d'observation sont lancés avec une maîtrise supplémentaire. De plus, les DD des jets de flirt sont réduits de votre maîtrise."
FEAT_DRUID_WIS,"Friendly Local Druid - Extra proficiency in rolls when in natural habitats. This includes outside areas, overgrown areas, and caverns.",,"Druide local sympathique - Maîtrise supplémentaire aux jets dans les habitats naturels. Cela inclut les zones extérieures, les zones envahies par la végétation et les cavernes."
FEAT_LEYLINE_CHA,Leyline Hook - Alters ability score modifiers on TRINKETS. Positive modifiers get +1 and negative modifiers get -1.,,Crochet de ligne tellurique - Modifie les modificateurs de caractéristique des BIBELOTS. Les modificateurs positifs gagnent +1 et les négatifs gagnent -1.
FEAT_MILL_CON,"Millennia Guardian - The effects from Potions are doubled. For Ability Score increases, this only affects the first potion of a kind you've ingested.",,"Gardien millénaire - Les effets des potions sont doublés. Pour les augmentations de caractéristique, cela ne concerne que la première potion d'un type donné que vous avez ingérée."
FEAT_TINGLE_WIS,Positive Tingle - Healing spells are rolled with twice the normal amount of dice.,,Picotement positif - Les sorts de soin sont lancés avec deux fois le nombre normal de dés.
FEAT_SCRIBBLE_INT,Scribble the Margins - Your cleric level is doubled when calculating the amount of spells you can prepare.,,Gribouiller les marges - Votre niveau de clerc est doublé pour calculer le nombre de sorts que vous pouvez préparer.
FEAT_DEM_DEX,Democratic Herald - You regain 1d4 hit points each time you ask someone what they are voting in the election.,,Héraut démocratique - Vous récupérez 1d4 points de vie chaque fois que vous demandez à quelqu'un pour qui il vote à l'élection.
